"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","988","test_get_avg_grades_groups","tests","2026-05-19","passed","2026-05-19","TestGradeStatsGet","test_grade_stats_get","",""
"Проверка наличия 2 оценок в статистике оценок, через фильтр 'teacher_id'","53","test_get_teacher_stats","tests","2026-05-19","passed","2026-05-19","TestGradeStatsGet","test_grade_stats_get","",""
"Проверка общей статистки оценок без фильтров, где проверяется count >= 1; min, max, avg - не None","51","test_get_general_stats","tests","2026-05-19","passed","2026-05-19","TestGradeStatsGet","test_grade_stats_get","",""
"
Проверка количества оценок используя фильтр 'student_id'.
Проверка min и max оценок используя фильтр 'student_id'.
Проверка валидного avg оценок, используя фильтр 'student_id', у которого есть три оценки.
","52","test_get_student_stats","tests","2026-05-19","passed","2026-05-19","TestGradeStatsGet","test_grade_stats_get","",""
"","65","Успешное создание студента внутри группы","tests","2026-05-19","passed","2026-05-19","TestStudent","test_student_create","",""
"","3","test_create_group_anonym","tests","2026-05-19","failed","2026-05-19","TestGroupContract","test_group_contract","",""
"","51","test_stats_grade_admin","tests","2026-05-19","passed","2026-05-19","TestGradeStatsContract","test_grade_stats_contract","",""
"Проверка наличия 3 оценок в статистике оценок, через фильтр 'group_id'","53","test_get_group_stats","tests","2026-05-19","passed","2026-05-19","TestGradeStatsGet","test_grade_stats_get","",""
"Проверка, get stats через фильтры 'teacher_id', 'group_id', 'student_id' - не существует","52","test_stats_for_nonexistent_entity[student_id-9999999999]","tests","2026-05-19","passed","2026-05-19","TestGradeStatsGet","test_grade_stats_get","",""
"","583","test_get_avg_grades_students[1]","tests","2026-05-19","passed","2026-05-19","TestGradeStatsGet","test_grade_stats_get","",""
"Проверка, get stats через фильтры 'teacher_id', 'group_id', 'student_id' - не существует","52","test_stats_for_nonexistent_entity[teacher_id-9999999999]","tests","2026-05-19","passed","2026-05-19","TestGradeStatsGet","test_grade_stats_get","",""
"","45","test_stats_grade_anonym","tests","2026-05-19","skipped","2026-05-19","TestGradeStatsContract","test_grade_stats_contract","",""
"","578","test_get_avg_grades_students[0]","tests","2026-05-19","passed","2026-05-19","TestGradeStatsGet","test_grade_stats_get","",""
"Проверка, get stats через фильтры 'teacher_id', 'group_id', 'student_id' - не существует","52","test_stats_for_nonexistent_entity[group_id-9999999999]","tests","2026-05-19","passed","2026-05-19","TestGradeStatsGet","test_grade_stats_get","",""
